case,date,cve,in_kev,kev_date_added,kev_due_date,known_ransomware_use,vulnerability_name,vendor_project,product
2026-05-02_Nexcorium-TBK-DVR-CVE-2024-3721,2026-05-02,CVE-2024-7399,yes,2026-04-24,2026-05-08,Unknown,Samsung MagicINFO 9 Server Path Traversal Vulnerability,Samsung,MagicINFO 9 Server
2026-05-02_Nexcorium-TBK-DVR-CVE-2024-3721,2026-05-02,CVE-2025-29635,yes,2026-04-24,2026-05-08,Unknown,D-Link DIR-823X Command Injection Vulnerability,D-Link,DIR-823X
2026-05-03_BAUXITE-CyberAvengers-AA26-097A,2026-05-03,CVE-2025-13777,no,,,,,,
2026-05-03_BAUXITE-CyberAvengers-AA26-097A,2026-05-03,CVE-2025-13778,no,,,,,,
2026-05-03_BAUXITE-CyberAvengers-AA26-097A,2026-05-03,CVE-2025-13779,no,,,,,,
2026-05-04_C0063-Poland-Wiper,2026-05-04,CVE-2024-57726,yes,2026-04-24,2026-05-08,Known,SimpleHelp Missing Authorization Vulnerability,SimpleHelp ,SimpleHelp
2026-05-04_C0063-Poland-Wiper,2026-05-04,CVE-2026-20122,yes,2026-04-20,2026-04-23,Unknown,Cisco Catalyst SD-WAN Manager Incorrect Use of Privileged APIs Vulnerability,Cisco,Catalyst SD-WAN Manger
2026-05-05_Akira-SonicWall-CVE-2024-40766,2026-05-05,CVE-2024-40766,yes,2024-09-09,2024-09-30,Known,SonicWall SonicOS Improper Access Control Vulnerability,SonicWall,SonicOS
2026-05-05_Akira-SonicWall-CVE-2024-40766,2026-05-05,CVE-2024-57726,yes,2026-04-24,2026-05-08,Known,SimpleHelp Missing Authorization Vulnerability,SimpleHelp ,SimpleHelp
2026-05-05_Akira-SonicWall-CVE-2024-40766,2026-05-05,CVE-2025-10035,yes,2025-09-29,2025-10-20,Known,Fortra GoAnywhere MFT Deserialization of Untrusted Data Vulnerability,Fortra,GoAnywhere MFT
2026-05-05_Akira-SonicWall-CVE-2024-40766,2026-05-05,CVE-2026-23760,yes,2026-01-26,2026-02-16,Known,SmarterTools SmarterMail Authentication Bypass Using an Alternate Path or Channel Vulnerability,SmarterTools,SmarterMail
2026-05-06_CodeOfConduct-AiTM-Storm-1747,2026-05-06,CVE-2026-31431,yes,2026-05-01,2026-05-15,Unknown,Linux Kernel Incorrect Resource Transfer Between Spheres Vulnerability,Linux,Kernel
2026-05-07_EVM-DeFi-npm-typosquat-namikazesarada,2026-05-07,CVE-2026-0300,yes,2026-05-06,2026-05-09,Unknown,Palo Alto Networks PAN-OS Out-of-bounds Write Vulnerability,Palo Alto Networks,PAN-OS
2026-05-07_EVM-DeFi-npm-typosquat-namikazesarada,2026-05-07,CVE-2026-31431,yes,2026-05-01,2026-05-15,Unknown,Linux Kernel Incorrect Resource Transfer Between Spheres Vulnerability,Linux,Kernel
2026-05-07_QLNX-Quasar-Linux-RAT,2026-05-07,CVE-2026-0300,yes,2026-05-06,2026-05-09,Unknown,Palo Alto Networks PAN-OS Out-of-bounds Write Vulnerability,Palo Alto Networks,PAN-OS
2026-05-07_QLNX-Quasar-Linux-RAT,2026-05-07,CVE-2026-31431,yes,2026-05-01,2026-05-15,Unknown,Linux Kernel Incorrect Resource Transfer Between Spheres Vulnerability,Linux,Kernel
2026-05-08_CloudZ-RAT-Pheno-PhoneLink,2026-05-08,CVE-2026-6973,yes,2026-05-07,2026-05-10,Unknown,Ivanti Endpoint Manager Mobile (EPMM) Improper Input Validation Vulnerability,Ivanti,Endpoint Manager Mobile (EPMM)
2026-05-09_Albiriox-Android-MaaS-AcVNC,2026-05-09,CVE-2026-23918,no,,,,,,
2026-05-11_UAT-8302-China-Government-Espionage,2026-05-11,CVE-2025-0994,yes,2025-02-07,2025-02-28,Unknown,Trimble Cityworks Deserialization Vulnerability,Trimble,Cityworks
2026-05-11_UAT-8302-China-Government-Espionage,2026-05-11,CVE-2025-31324,yes,2025-04-29,2025-05-20,Known,SAP NetWeaver Unrestricted File Upload Vulnerability,SAP,NetWeaver
2026-05-11_UAT-8302-China-Government-Espionage,2026-05-11,CVE-2026-0300,yes,2026-05-06,2026-05-09,Unknown,Palo Alto Networks PAN-OS Out-of-bounds Write Vulnerability,Palo Alto Networks,PAN-OS
